The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century.	your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century	pleased to note
recognized-13	note-5	-ccomp
I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century.	the money-fund concept	recognized the money-fund concept as one of the significant events of the past century
concept-16	recognized-13	-dobj
Actually, about two years ago, the Journal listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century.	the creation of the money fund	listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century
creation-10	listed-8	-dobj
Salt Lake City-based First Security, with $5.4 billion in assets, said the agreement is subject to shareholder and regulatory approval, and that it hopes to complete the transaction early next year.	to complete the transaction early next year	hopes
complete-26	hopes-24	-xcomp
In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.	the moves	logical because they will allow both the chemicals and textile businesses to focus more closely on core activities
moves-6	logical-8	-nsubj
In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.	the moves	logical
moves-6	logical-8	-nsubj
In Delaware Chancery Court litigation, Telerate has criticized Dow Jones for not disclosing that Telerate's management expects the company's revenue to increase by 20% annually, while Dow Jones based its projections of Telerate's performance on a 12% revenue growth forecast.	Dow Jones	has criticized
Jones-10	criticized-8	-dobj
The offer, which Telerate's two independent directors have rejected as inadequate, previously had been scheduled to expire at midnight Friday.	The offer, which	have rejected
offer,-2	rejected-9	-nsubj
The offer, which Telerate's two independent directors have rejected as inadequate, previously had been scheduled to expire at midnight Friday.	The offer, which	inadequate
offer,-2	inadequate,-11	-nsubj-advcl-nsubjpass
Still, Unisys said its European business was weak during the quarter, a worrisome sign given that the company has relied on solid results overseas to overcome weakness in the U.S. over the past several quarters.	its European business was weak during the quarter	a worrisome sign
quarter,-11	sign-14	-vmod-dobj
He said the strength of the world-wide economy is suspect, and doesn't see much revenue growth in the cards.	the strength of the world-wide economy	is suspect
strength-4	suspect,-10	-nsubj
Just clobbered," said Ulric Weil, an analyst at Weil & Associates who had once been high on the company.	the company	had once been high
company.-19	high-16	-pobj-prep
Usually when a Japanese company is ready to sell, it has few alternatives remaining, and the grim demeanors of Sansui's directors at a joint news conference here left little doubt that this was not the company's finest hour.	this	left little doubt that this was not the company's finest hour
this-32	hour.-38	-nsubj
Usually when a Japanese company is ready to sell, it has few alternatives remaining, and the grim demeanors of Sansui's directors at a joint news conference here left little doubt that this was not the company's finest hour.	this	not the company's finest hour
this-32	hour.-38	-nsubj
 even a Japanese company that looks like a dog may turn out to be a good investment for a foreign concern, some management consultants maintain.   	apanese company th	ks like a dog ma
company-5	that-6	-ref
 even a Japanese company that looks like a dog may turn out to be a good investment for a foreign concern, some management consultants maintain.   	apanese company that looks like a dog ma	 turn out to be a good investment for a foreign concern, s
a-9	dog-10	-det
Japanese government officials, eager to rebut foreign criticism of Japanese investments overseas, hailed the transaction as proof foreigners can make similar investments in Japan.	to rebut foreign criticism	eager
rebut-6	eager-4	-xcomp
d his firm will likely be recommending acquisitions of Japanese companies more often to foreign clients in the future. "A	uisitions of Japanese companies mo	ommending ac
recommending-7	be-6	-aux
sui, he said, is a perfect fit for Polly Peck's electronics operations, which make televisions, videocassette recorders, microwaves and other products on an "original equipment maker" basis for sale under other companies' brand names.   	sui, h	erfect fit fo
sui,-1	a-5	-ccomp-det
 company has not been able to cope very effectively with" changes in the marketplace, said Ryosuke Ito, Sansui's president.   	 company ha	 not been able to cope very effectively wi
-1	company-2	-amod
People are reading the boxes and deciding they want something that's `healthy' for you -- oats, bran.	something that's `healthy' for you	want
that's-11	want-9	-dobj
Kellogg, which hasn't been as successful in capitalizing on the public's health-oriented desire for oat bran as rival General Mills Inc.	oat bran	desire
bran-16	desire-13	-pobj-prep
A Kellogg officer, who asked not to be named, said the Memphis project was "pulled in for a reconsideration of costs," an indication that the ambitious plans might be scaled back in any future construction.	not to be named	asked
named,-9	asked-5	-xcomp
recently went to a "sell" recommendation on Kellogg stock, which closed Friday at $71.75, down 75 cents, in New York Stock Exchange composite trading.	Kellogg stock	went to a "sell" recommendation
stock,-9	went-2	-pobj-prep
